CNA-SMN-CG-GMC-SMAA-CLIMATOLOGIA
BASE DE DATOS CLIMATOLOGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A MARZO 2020;CON LA INFORMACION SUMINISTRADA POR LAS OFICINAS REGIONALES
 
ESTACION  : 30330
NOMBRE    : HEROICA CORDOBA (SMN)
ESTADO    : VERACRUZ DE IGNACIO DE LA LLAVE
MUNICIPIO : CORDOBA
SITUACI�N : SUSPENDIDA
ORGANISMO : CONAGUA-SMN
CVE-OMM   : Nulo
LATITUD   : 018.883�
LONGITUD  : -096.917�
ALTITUD   : 803 msnm
 
EMISION   : 06/04/2020 
 
           PRECIP  EVAP   TMAX   TMIN
  FECHA     (MM)   (MM)   (�C)   (�C)
01/09/1978  0      2.3    30     8 
02/09/1978  0      2.3    30     8 
03/09/1978  0      2.4    27     8 
04/09/1978  0      0.6    26     8 
05/09/1978  0      3      26     8.5 
06/09/1978  0      4.1    26     9 
07/09/1978  6      1.8    27     9 
08/09/1978  0      0.5    25     9 
09/09/1978  13     0.2    25     8.5 
10/09/1978  0.3    4.8    24.5   8.5 
11/09/1978  5.1    2.2    24     9 
12/09/1978  3.4    4.3    23     9 
13/09/1978  0      2      23     9 
14/09/1978  0      2.1    25     9 
15/09/1978  0      2      27.5   9 
16/09/1978  0      2.2    29.5   9 
17/09/1978  0.3    4.4    28     9.5 
18/09/1978  2.2    1      28     9.5 
19/09/1978  0.2    2      27.5   9 
20/09/1978  0      3.2    27     9 
21/09/1978  0.1    2.1    28     9 
22/09/1978  0      1      28.5   9 
23/09/1978  0      1.2    31     9 
24/09/1978  0      0.3    33     9 
25/09/1978  0.2    0.9    32     9 
26/09/1978  0      0.8    19     9 
27/09/1978  0      3.6    25     9.5 
28/09/1978  0      1.4    30     9.5 
29/09/1978 Nulo    0.2   Nulo   Nulo
30/09/1978 Nulo    3.6   Nulo   Nulo
01/10/1978  0      0.8    30     10 
02/10/1978  0      4.3    31.5   9.5 
03/10/1978  0      3.3    33.5   10 
04/10/1978  0.1    0.1    33     9.5 
05/10/1978  5.6    0.2    32.5   9.5 
06/10/1978  4.2    1.3    32.5   9.5 
07/10/1978  3      1      32     9.5 
08/10/1978  0      1.3    31.5   9.5 
09/10/1978  0      2.4    31.5   9.5 
10/10/1978  0      2.7    31     9 
11/10/1978  4.2    0.7    31     9.5 
12/10/1978  0      0.9    30.5   9.5 
13/10/1978  0      3      30     9.5 
14/10/1978  0      2.1    30     10 
15/10/1978  0      2.5    30.5   10 
16/10/1978  0      0.9    29     10 
17/10/1978  0      1.6    28     10 
18/10/1978  0      3.6    30     10 
19/10/1978  0      3.1    31     10 
20/10/1978  0      2.7    31     10 
21/10/1978  0      2.5    30.5   10 
22/10/1978  0      4.9    31     10 
23/10/1978  1.8    4.5    33     10 
24/10/1978  4      0.2    33     10 
25/10/1978  4.5    0.4    33     9.5 
26/10/1978  0      1.3    32.5   9.5 
27/10/1978  0.1    1      32     10 
28/10/1978  0      2.3    32     10 
29/10/1978  0      2.8    31     10 
30/10/1978  0      2.1    31     10 
31/10/1978  0      2.8    31     10 
01/11/1978  0      2.9    36     8 
02/11/1978  0.2    1.9    36     8.5 
03/11/1978  0      2.6    35     8.5 
04/11/1978  0      6.7    38     8.5 
05/11/1978  0      6.7    39     9 
06/11/1978  0.9    3.2    39     9 
07/11/1978  0      2.7    38.5   9 
08/11/1978  1      4.4    38     8 
09/11/1978  5.9    4      38     8 
10/11/1978  1.8    1      38     8 
11/11/1978  0      0.8    38     8 
12/11/1978  0      0.9    37     8 
13/11/1978  0      4.7    37     8 
14/11/1978  1.4    2.6    36     9 
15/11/1978  8.1    3.3    36     8 
16/11/1978  3.5    1.7    30     8 
17/11/1978  0.2    1      35     8 
18/11/1978  0      1.5    35     8 
19/11/1978  0      3.4    35     8 
20/11/1978  0      2.9    35     8 
21/11/1978  0      2      35     8 
22/11/1978  0      3.5    35     8 
23/11/1978  0      2.8    35     8 
24/11/1978  0      4.2    37     8 
25/11/1978  0      2.8    37     8 
26/11/1978  0      3.3    36     8 
27/11/1978  0      3.5    36     8 
28/11/1978  0      3.6    36     8 
29/11/1978  0      3.3    35     8 
30/11/1978  0      3.6    35     8 
01/12/1978  0      1.2    27.5   13.5 
02/12/1978  0      1      27.5   13.5 
03/12/1978  0      1      27.5   13.5 
04/12/1978  0.5    0.4    28.5   13.5 
05/12/1978  0.1    0.3    28     13.5 
06/12/1978  0      1.1    28     13.5 
07/12/1978  0      0.8    28     13 
08/12/1978  42    Nulo    27.5   13.5 
09/12/1978  16.2   0.3    27     13.5 
10/12/1978  0.1    0.2    27     9 
11/12/1978  1.5    1.5    27     8 
12/12/1978  5      0.1    26.5   9 
13/12/1978  1.7   Nulo    26     9.5 
14/12/1978  0      0.2    25.5   9 
15/12/1978  0     Nulo    24.5   9 
16/12/1978  0      0.4    24.5   9.5 
17/12/1978  0      0.5    24     9.5 
18/12/1978  0      0.7    22     9.5 
19/12/1978  0      0.2    24     10 
20/12/1978  0      0.3    25     9.5 
21/12/1978  0.1    0.8    25.5   9.5 
22/12/1978  0      0.9    25.5   9.5 
23/12/1978  0.5    0.6    25     9.5 
24/12/1978  5.4    0.3    25.5   9.5 
25/12/1978  0.3    0.4    25     9 
26/12/1978  0      0.3    25.5   10 
27/12/1978  2.9    0.3    25.5   9.5 
28/12/1978  0      0.5    25     10 
29/12/1978  0      1.6    24.5   10 
30/12/1978  0      0.2    25     9.5 
31/12/1978  0      1.4    25     10 
01/01/1979  0.5   Nulo    25     9.5 
02/01/1979  2.6    0.6    25     10 
03/01/1979  0      0.6    25     6.5 
04/01/1979  0      1.4    25     7 
05/01/1979  0      0.7    24     7 
06/01/1979  0      0.1    24     7 
07/01/1979  7      0.7    27     7 
08/01/1979  10.5   1      26.5   7 
